#: table_doi: 10.17182/hepdata.79304.v4/t88
#: name: Table 88
#: description: $\textbf{Efficiency 1 } -$ Acceptance and efficiency for the bino LSP model in the $m_{\tilde{t}_{1}}$ vs $m_{\tilde{\chi}^{0}_{1}}$ plane. Efficiencies larger than 100% are observed in the bWN SR due differences in $am_{\mathrm{T2}}$ between truth and reconstruction level, in the absence of $b$-tagging inefficiencies. Acceptance and efficiency numbers are provided for discovery SRs even if shape fits are used for placing exclusion limits.
#: data_file: eff_tN_efficiency.yaml
#: keyword cmenergies: 13000.0
M(NEUTRALINO) [GeV],M(STOP) [GeV],EFFICIENCY
1.0,195.0,1.7832956314086914
1.0,450.0,0.7812075614929199
1.0,500.0,0.7478476166725159
1.0,550.0,0.8488852977752686
1.0,600.0,0.8109312057495117
1.0,650.0,0.847882091999054
1.0,700.0,0.8322544693946838
1.0,750.0,0.7916319966316223
1.0,800.0,0.8281832337379456
1.0,850.0,0.7439806461334229
1.0,900.0,0.844130277633667
1.0,950.0,0.8595759272575378
1.0,1000.0,0.7740486264228821
1.0,1050.0,0.782601535320282
1.0,1100.0,0.7639806270599365
1.0,1150.0,0.7386133670806885
1.0,1200.0,0.8037917613983154
1.0,1250.0,0.790022611618042
1.0,1300.0,0.8607442378997803
12.0,200.0,1.8187108039855957
17.0,190.0,2.4980928897857666
23.0,190.0,1.4907792806625366
27.0,200.0,2.4976863861083984
50.0,450.0,0.7968628406524658
50.0,500.0,0.8670021295547485
50.0,550.0,0.7086552381515503
50.0,600.0,0.816916286945343
50.0,650.0,0.7731801867485046
50.0,700.0,0.9247549176216125
50.0,750.0,0.820565938949585
50.0,800.0,0.772651731967926
50.0,850.0,0.8677033185958862
50.0,900.0,0.8300217390060425
50.0,950.0,0.8155656456947327
50.0,1000.0,0.8001366853713989
50.0,1050.0,0.653772234916687
50.0,1100.0,0.8329445123672485
50.0,1150.0,0.7659602165222168
50.0,1200.0,0.7610834836959839
50.0,1250.0,0.7966083288192749
50.0,1300.0,0.7858452796936035
53.0,220.0,0.6073038578033447
60.0,220.0,0.5878918170928955
62.0,250.0,0.7465897798538208
77.0,250.0,0.6116909384727478
100.0,250.0,0.8055477142333984
100.0,450.0,0.8496763706207275
100.0,500.0,0.9164791703224182
100.0,550.0,0.8275376558303833
100.0,600.0,0.8046653270721436
100.0,650.0,0.7459391951560974
100.0,700.0,0.8360887169837952
100.0,750.0,0.8353993892669678
100.0,800.0,0.8421530723571777
100.0,850.0,0.9100501537322998
100.0,900.0,0.847737193107605
100.0,950.0,0.8342823386192322
100.0,1000.0,0.7877680659294128
100.0,1050.0,0.7506471276283264
100.0,1100.0,0.7480414509773254
100.0,1150.0,0.883815586566925
100.0,1200.0,0.7955739498138428
100.0,1250.0,0.733596920967102
100.0,1300.0,0.770146369934082
112.0,300.0,0.6322001218795776
127.0,300.0,0.6133883595466614
130.0,250.0,1.1243623495101929
150.0,300.0,0.9257811307907104
150.0,350.0,0.9960988759994507
150.0,450.0,0.7115492820739746
150.0,500.0,0.760371744632721
150.0,550.0,0.7859533429145813
150.0,600.0,0.8146249651908875
150.0,650.0,0.8393075466156006
150.0,700.0,0.8371953368186951
150.0,750.0,0.8262235522270203
150.0,800.0,0.8227800130844116
150.0,850.0,0.8402895331382751
150.0,900.0,0.816241443157196
150.0,950.0,0.8074824810028076
150.0,1000.0,0.8118782043457031
150.0,1050.0,0.8021530508995056
150.0,1100.0,0.778329074382782
150.0,1150.0,0.8038465976715088
150.0,1200.0,0.8886492252349854
150.0,1250.0,0.8135119080543518
150.0,1300.0,0.8379845023155212
160.0,250.0,1.3017642498016357
162.0,350.0,1.3776252269744873
175.0,400.0,1.2117271423339844
177.0,350.0,1.4997386932373047
180.0,300.0,1.2007004022598267
185.0,350.0,0.9282878637313843
200.0,250.0,0.37134912610054016
200.0,350.0,1.0432051420211792
200.0,400.0,1.3331832885742188
200.0,500.0,0.8322573304176331
200.0,550.0,0.7821154594421387
200.0,600.0,0.7426697611808777
200.0,650.0,0.7697758674621582
200.0,700.0,0.7822514176368713
200.0,750.0,0.8480647802352905
200.0,800.0,0.8524609208106995
200.0,850.0,0.8217184543609619
200.0,900.0,0.8247706890106201
200.0,950.0,0.7861957550048828
200.0,1000.0,0.7692978382110596
200.0,1050.0,0.7084436416625977
200.0,1100.0,0.8007122278213501
200.0,1150.0,0.7635434865951538
200.0,1200.0,0.8893510699272156
200.0,1250.0,0.7532666921615601
210.0,300.0,1.4270296096801758
212.0,400.0,2.2420835494995117
220.0,300.0,1.1683716773986816
227.0,400.0,2.263932466506958
230.0,250.0,0.37307366728782654
230.0,350.0,1.183057427406311
235.0,400.0,1.011298418045044
243.0,250.0,0.7540809512138367
250.0,300.0,0.3084128797054291
250.0,400.0,0.987260103225708
250.0,450.0,0.9203379154205322
250.0,500.0,0.9184818267822266
250.0,550.0,0.9102052450180054
250.0,600.0,0.775633692741394
250.0,650.0,0.7613756060600281
250.0,700.0,0.8121367692947388
250.0,750.0,0.7784141302108765
250.0,800.0,0.7539096474647522
250.0,850.0,0.8131892681121826
250.0,900.0,0.8337099552154541
250.0,950.0,0.8334693908691406
250.0,1000.0,0.7808680534362793
250.0,1050.0,0.849441409111023
250.0,1100.0,0.725091278553009
250.0,1150.0,0.7244988083839417
250.0,1200.0,0.791237473487854
250.0,1250.0,0.8063825964927673
250.0,1300.0,0.74587082862854
260.0,350.0,1.6674721240997314
270.0,350.0,1.1159321069717407
277.0,450.0,2.659248113632202
280.0,300.0,0.4358159303665161
280.0,400.0,1.028053879737854
285.0,450.0,0.944878101348877
293.0,300.0,1.9238027334213257
