#: table_doi: 10.17182/hepdata.89408.v1/t12
#: name: Acceptance_SRB
#: description: Signal acceptance in SRB for simplified models with $\widetilde{b}\widetilde{b}$ $\rightarrow$ $b\bar{b} \widetilde{\chi}_2^0 \widetilde{\chi}_2^0$ $\rightarrow$ hh$\widetilde{\chi}_1^0 \widetilde{\chi}_1^0$, h $\rightarrow$ $b\bar{b}$ production
#: data_file: acceptance_srb.yaml
#: keyword observables: Acceptance
#: keyword phrases: SUSY | Supersymmetry | 3rd Generation
#: keyword reactions: P P ---> SBOTTOM SBOTTOM ---> b b N2 N2 ---> h h N1 N1
#: $\sqrt{s}$ [GeV],13000
#: .,SRB
M(Sbottom),M(N2),Acceptance [$\%$] SRB
1000.0,230.0,0.0041178
1000.0,730.0,0.093102
1500.0,230.0,0.0035048
1500.0,330.0,0.035929
800.0,480.0,0.063926
1000.0,530.0,0.096631
1300.0,330.0,0.051385
750.0,180.0,0.044995
1200.0,330.0,0.048011
400.0,280.0,0.011496
900.0,330.0,0.032777
1300.0,730.0,0.23402
900.0,530.0,0.1048
900.0,430.0,0.055142
700.0,580.0,0.15308
500.0,490.0,0.037193
900.0,230.0,0.0030819
1400.0,430.0,0.090062
600.0,131.0,0.0
600.0,580.0,0.07518
1400.0,330.0,0.045156
1200.0,830.0,0.2661
550.0,180.0,0.0011187
600.0,480.0,0.11796
800.0,300.0,0.025679
500.0,131.0,0.0
550.0,131.0,0.0014182
1300.0,630.0,0.16153
1400.0,530.0,0.1164
750.0,131.0,0.0032599
850.0,180.0,0.043847
1000.0,131.0,0.0
1000.0,430.0,0.06198
500.0,180.0,0.0010295
1000.0,330.0,0.050818
500.0,380.0,0.046904
1000.0,930.0,0.42814
600.0,280.0,0.014939
800.0,380.0,0.045512
900.0,830.0,0.33754
900.0,131.0,0.0
650.0,180.0,0.043594
1100.0,330.0,0.032567
1300.0,230.0,0.011613
1000.0,830.0,0.27956
1400.0,830.0,0.19765
400.0,390.0,0.018116
1100.0,430.0,0.092658
900.0,730.0,0.21229
1100.0,131.0,0.013883
700.0,300.0,0.0097965
700.0,680.0,0.092846
1100.0,730.0,0.14604
1200.0,630.0,0.15231
700.0,380.0,0.026219
1100.0,830.0,0.17004
1200.0,930.0,0.22948
800.0,580.0,0.074696
1300.0,430.0,0.068856
1300.0,530.0,0.11498
1200.0,200.0,0.012377
1200.0,530.0,0.10633
1100.0,230.0,0.018399
900.0,630.0,0.12391
1400.0,730.0,0.13523
800.0,131.0,0.0045709
700.0,131.0,0.0032583
700.0,230.0,0.0066529
400.0,370.0,0.02584
700.0,480.0,0.059693
800.0,680.0,0.23181
1200.0,430.0,0.074372
600.0,180.0,0.0
1400.0,230.0,0.0062011
1200.0,230.0,0.014406
800.0,230.0,0.0025785
650.0,131.0,0.0043259
1300.0,200.0,0.012488
1100.0,530.0,0.13007
1300.0,830.0,0.26607
800.0,780.0,0.091134
950.0,230.0,0.0030834
1000.0,630.0,0.09056
1200.0,730.0,0.15183
1100.0,630.0,0.13022
500.0,280.0,0.013659
600.0,380.0,0.0073256

