#: table_doi: 10.17182/hepdata.89408.v1/t30
#: name: Acceptance_SRA_H_dm130
#: description: Signal acceptance in SRA_H_dm130 for simplified models with $\widetilde{b}\widetilde{b}$ $\rightarrow$ $b\bar{b} \widetilde{\chi}_2^0 \widetilde{\chi}_2^0$ $\rightarrow$ hh$\widetilde{\chi}_1^0 \widetilde{\chi}_1^0$, h $\rightarrow$ $b\bar{b}$ production
#: data_file: acceptance_sra_h_dm130.yaml
#: keyword observables: Acceptance
#: keyword phrases: SUSY | Supersymmetry | 3rd Generation
#: keyword reactions: P P ---> SBOTTOM SBOTTOM ---> b b N2 N2 ---> h h N1 N1
#: $\sqrt{s}$ [GeV],13000
#: .,SRA_H_dm130
M(Sbottom),M(N2),Acceptance [$\%$] SRA_H_dm130
1000.0,230.0,1.0296
1000.0,730.0,0.1607
1500.0,230.0,1.8335
1500.0,330.0,7.939
800.0,480.0,0.31884
1000.0,530.0,0.73815
1300.0,330.0,6.033
750.0,180.0,0.037545
1200.0,330.0,3.2287
400.0,280.0,0.0090039
900.0,330.0,0.55452
1300.0,730.0,2.1484
900.0,530.0,0.44163
900.0,430.0,0.63964
700.0,580.0,0.16028
500.0,490.0,0.0051048
900.0,230.0,0.35714
1400.0,430.0,6.5062
600.0,131.0,0.00063134
600.0,580.0,0.0067226
1400.0,330.0,5.2459
1200.0,830.0,0.50574
550.0,180.0,0.0058739
600.0,480.0,0.10185
800.0,300.0,0.41855
500.0,131.0,0.0003736
550.0,131.0,0.055392
1300.0,630.0,2.8438
1400.0,530.0,4.9184
750.0,131.0,0.13528
850.0,180.0,0.077858
1000.0,131.0,0.063247
1000.0,430.0,0.77695
500.0,180.0,0.040443
1000.0,330.0,1.3367
500.0,380.0,0.052137
1000.0,930.0,0.028354
600.0,280.0,0.13194
800.0,380.0,0.35404
900.0,830.0,0.012334
900.0,131.0,0.024104
650.0,180.0,0.0077614
1100.0,330.0,2.0539
1300.0,230.0,2.7065
1000.0,830.0,0.12444
1400.0,830.0,1.9504
400.0,390.0,0.0028686
1100.0,430.0,2.0749
900.0,730.0,0.21785
1100.0,131.0,2.4906
700.0,300.0,0.12023
700.0,680.0,0.0036766
1100.0,730.0,0.52685
1200.0,630.0,1.7255
700.0,380.0,0.079757
1100.0,830.0,0.28553
1200.0,930.0,0.31116
800.0,580.0,0.076911
1300.0,430.0,4.4218
1300.0,530.0,3.5975
1200.0,200.0,2.4312
1200.0,530.0,2.211
1100.0,230.0,1.3944
900.0,630.0,0.29438
1400.0,730.0,4.5657
800.0,131.0,0.18435
700.0,131.0,0.12381
700.0,230.0,0.20997
400.0,370.0,0.0022044
700.0,480.0,0.1865
800.0,680.0,0.050328
1200.0,430.0,3.096
600.0,180.0,0.0056367
1400.0,230.0,3.3598
1200.0,230.0,1.6969
800.0,230.0,0.15082
650.0,131.0,0.12432
1300.0,200.0,2.1848
1100.0,530.0,1.3917
1300.0,830.0,1.1901
800.0,780.0,0.0077019
950.0,230.0,0.85343
1000.0,630.0,0.31253
1200.0,730.0,0.93094
1100.0,630.0,0.78388
500.0,280.0,0.059543
600.0,380.0,0.080357

