#: table_doi: 10.17182/hepdata.79304.v4/t94
#: name: Table 94
#: description: $\textbf{Efficiency 4 } -$ Acceptance and efficiency for the higgsino LSP model with $\Delta m (\tilde{\chi}^{\pm}_{1}, \tilde{\chi}^{0}_{1}) = 5$ GeV. The model assumes large $\tan\beta$ and the $\tilde{t}_{1}$ to be mostly $\tilde{t}_{L}$. Acceptance and efficiency numbers are provided for discovery SRs even if shape fits are used for placing exclusion limits.
#: data_file: eff_higgsinoLSP_efficiency.yaml
#: keyword cmenergies: 13000.0
M(NEUTRALINO) [GeV],M(STOP) [GeV],EFFICIENCY
100.0,300.0,0.3499133288860321
100.0,350.0,0.47757387161254883
100.0,400.0,0.34512755274772644
100.0,450.0,0.48035216331481934
100.0,500.0,0.4441670775413513
100.0,550.0,0.5415981411933899
100.0,600.0,0.2193881720304489
100.0,650.0,0.31066370010375977
100.0,700.0,0.38035687804222107
100.0,750.0,0.29993152618408203
100.0,800.0,0.33270537853240967
100.0,850.0,0.3063609302043915
100.0,900.0,0.3239336311817169
100.0,950.0,0.2829276919364929
100.0,1000.0,0.2639840245246887
100.0,1050.0,0.2521713078022003
100.0,1100.0,0.26565098762512207
100.0,1150.0,0.22992128133773804
100.0,1200.0,0.27266138792037964
100.0,1250.0,0.2572607696056366
100.0,1300.0,0.22989687323570251
150.0,350.0,0.3053372800350189
150.0,450.0,0.39006853103637695
150.0,500.0,0.376402884721756
150.0,550.0,0.3289810121059418
150.0,600.0,0.35646992921829224
150.0,650.0,0.22100327908992767
150.0,700.0,0.34310832619667053
150.0,750.0,0.30887219309806824
150.0,800.0,0.31710946559906006
150.0,850.0,0.2462625801563263
150.0,900.0,0.3048296868801117
150.0,950.0,0.25951749086380005
150.0,1000.0,0.2188202142715454
150.0,1050.0,0.21175383031368256
150.0,1100.0,0.20103314518928528
150.0,1150.0,0.22717617452144623
150.0,1200.0,0.20087933540344238
150.0,1250.0,0.18315382301807404
150.0,1300.0,0.18879123032093048
200.0,450.0,0.2601272165775299
200.0,500.0,0.39126473665237427
200.0,550.0,0.1995728313922882
200.0,600.0,0.30444732308387756
200.0,650.0,0.3477567732334137
200.0,700.0,0.3308953046798706
200.0,750.0,0.2949005663394928
200.0,800.0,0.31820204854011536
200.0,850.0,0.25832822918891907
200.0,900.0,0.2524935305118561
200.0,950.0,0.2242344617843628
200.0,1000.0,0.2639576494693756
200.0,1050.0,0.26003554463386536
200.0,1100.0,0.23582716286182404
