#: table_doi: 10.17182/hepdata.79304.v4/t90
#: name: Table 90
#: description: $\textbf{Efficiency 2 } -$ Acceptance and efficiency for the bino LSP model in the $m_{\tilde{t}_{1}}$ vs $\Delta m(\tilde{t}_{1},\tilde{\chi}^{0}_{1})$ plane. Efficiencies larger than 100% are observed in the bWN SR due differences in $am_{\mathrm{T2}}$ between truth and reconstruction level, in the absence of $b$-tagging inefficiencies. Acceptance and efficiency numbers are provided for discovery SRs even if shape fits are used for placing exclusion limits.

#: data_file: eff_tN_diag_efficiency.yaml
#: keyword cmenergies: 13000.0
M(STOP)-M(NEUTRALINO) [GeV],M(STOP) [GeV],EFFICIENCY
7.0,250.0,0.7540809512138367
7.0,300.0,1.9238027334213257
10.0,350.0,0.37926504015922546
20.0,250.0,0.37307366728782654
20.0,300.0,0.4358159303665161
20.0,350.0,0.3974081575870514
20.0,400.0,0.258373498916626
20.0,450.0,0.2772654592990875
20.0,500.0,0.11395583301782608
20.0,550.0,0.3894236385822296
50.0,250.0,0.37134912610054016
50.0,300.0,0.3084128797054291
50.0,350.0,0.39597415924072266
50.0,400.0,0.40061965584754944
50.0,450.0,0.3984406292438507
50.0,500.0,0.5054770708084106
50.0,550.0,0.5641497373580933
80.0,300.0,1.1683716773986816
80.0,350.0,1.1159321069717407
80.0,400.0,1.3762128353118896
80.0,450.0,0.7998942136764526
80.0,500.0,1.1223018169403076
80.0,550.0,0.4689064025878906
90.0,250.0,1.3017642498016357
90.0,300.0,1.4270296096801758
90.0,350.0,1.6674721240997314
90.0,400.0,1.8122767210006714
90.0,450.0,2.327803373336792
90.0,550.0,2.2514519691467285
120.0,250.0,1.1243623495101929
120.0,300.0,1.2007004022598267
120.0,350.0,1.183057427406311
120.0,400.0,1.028053879737854
120.0,450.0,1.1358674764633179
120.0,500.0,1.278947353363037
120.0,550.0,1.063625693321228
150.0,250.0,0.8055477142333984
150.0,300.0,0.9257811307907104
150.0,350.0,1.0432051420211792
150.0,400.0,0.987260103225708
150.0,450.0,1.0142910480499268
150.0,500.0,1.0510809421539307
150.0,550.0,1.3667473793029785
160.0,220.0,0.5878918170928955
165.0,350.0,0.9282878637313843
165.0,400.0,1.011298418045044
165.0,450.0,0.944878101348877
165.0,500.0,0.6949532628059387
165.0,550.0,0.855462372303009
167.0,190.0,1.4907792806625366
167.0,220.0,0.6073038578033447
173.0,190.0,2.4980928897857666
173.0,200.0,2.4976863861083984
173.0,250.0,0.6116909384727478
173.0,300.0,0.6133883595466614
173.0,350.0,1.4997386932373047
173.0,400.0,2.263932466506958
173.0,450.0,2.659248113632202
173.0,500.0,2.735868453979492
173.0,550.0,1.2719870805740356
188.0,200.0,1.8187108039855957
188.0,250.0,0.7465897798538208
188.0,300.0,0.6322001218795776
188.0,350.0,1.3776252269744873
188.0,400.0,2.2420835494995117
188.0,500.0,1.3612366914749146
188.0,550.0,1.5456346273422241
194.0,195.0,1.7832956314086914
200.0,350.0,0.9960988759994507
200.0,400.0,1.3331832885742188
200.0,450.0,0.9203379154205322
200.0,500.0,0.6014283299446106
200.0,550.0,0.4786781668663025
225.0,400.0,1.2117271423339844

M(STOP)-M(NEUTRALINO) [GeV],M(STOP) [GeV],SELECTED SR
7.0,250.0,bffN
7.0,300.0,bffN
10.0,350.0,bffN
20.0,250.0,bffN
20.0,300.0,bffN
20.0,350.0,bffN
20.0,400.0,bffN
20.0,450.0,bffN
20.0,500.0,bffN
20.0,550.0,bffN
50.0,250.0,bffN
50.0,300.0,bffN
50.0,350.0,bffN
50.0,400.0,bffN
50.0,450.0,bffN
50.0,500.0,bffN
50.0,550.0,bffN
80.0,300.0,bWN
80.0,350.0,bWN
80.0,400.0,bWN
80.0,450.0,bWN
80.0,500.0,bWN
80.0,550.0,bffN
90.0,250.0,bWN
90.0,300.0,bWN
90.0,350.0,bWN
90.0,400.0,bWN
90.0,450.0,bWN
90.0,550.0,bWN
120.0,250.0,bWN
120.0,300.0,bWN
120.0,350.0,bWN
120.0,400.0,bWN
120.0,450.0,bWN
120.0,500.0,bWN
120.0,550.0,bWN
150.0,250.0,bWN
150.0,300.0,bWN
150.0,350.0,bWN
150.0,400.0,tN_diag_high
150.0,450.0,bWN
150.0,500.0,tN_diag_high
150.0,550.0,bWN
160.0,220.0,tN_diag_med
165.0,350.0,tN_diag_high
165.0,400.0,tN_diag_high
165.0,450.0,tN_diag_high
165.0,500.0,tN_diag_high
165.0,550.0,tN_diag_high
167.0,190.0,tN_diag_low
167.0,220.0,tN_diag_med
173.0,190.0,tN_diag_low
173.0,200.0,tN_diag_low
173.0,250.0,tN_diag_med
173.0,300.0,tN_diag_med
173.0,350.0,tN_diag_high
173.0,400.0,tN_diag_high
173.0,450.0,tN_diag_high
173.0,500.0,tN_diag_high
173.0,550.0,tN_diag_high
188.0,200.0,tN_diag_low
188.0,250.0,tN_diag_med
188.0,300.0,tN_diag_med
188.0,350.0,tN_diag_high
188.0,400.0,tN_diag_high
188.0,500.0,tN_diag_high
188.0,550.0,tN_diag_high
194.0,195.0,tN_diag_low
200.0,350.0,tN_diag_high
200.0,400.0,tN_diag_high
200.0,450.0,tN_diag_high
200.0,500.0,tN_diag_high
200.0,550.0,tN_diag_high
225.0,400.0,tN_diag_high

