#: table_doi: 10.17182/hepdata.79304.v4/t89
#: name: Table 89
#: description: $\textbf{Acceptance 2 } -$ Acceptance and efficiency for the bino LSP model in the $m_{\tilde{t}_{1}}$ vs $\Delta m(\tilde{t}_{1},\tilde{\chi}^{0}_{1})$ plane. Efficiencies larger than 100% are observed in the bWN SR due differences in $am_{\mathrm{T2}}$ between truth and reconstruction level, in the absence of $b$-tagging inefficiencies. Acceptance and efficiency numbers are provided for discovery SRs even if shape fits are used for placing exclusion limits.

#: data_file: acc_tN_diag_acceptance.yaml
#: keyword cmenergies: 13000.0
M(STOP)-M(NEUTRALINO) [GeV],M(STOP) [GeV],ACCEPTANCE
7.0,250.0,4.803759566129884e-06
7.0,300.0,1.509909793639963e-06
10.0,350.0,2.977077747345902e-05
20.0,250.0,0.00017642098828218877
20.0,300.0,0.0001962412497960031
20.0,350.0,0.00025427769287489355
20.0,400.0,0.00031233165645971894
20.0,450.0,0.0003116586012765765
20.0,500.0,0.0003501801402308047
20.0,550.0,0.00029110186733305454
50.0,250.0,0.00019378490105737
50.0,300.0,0.00027311500161886215
50.0,350.0,0.00037100768531672657
50.0,400.0,0.0004823588242288679
50.0,450.0,0.0006629166309721768
50.0,500.0,0.0008069857722148299
50.0,550.0,0.0010877323802560568
80.0,300.0,9.994106221711263e-05
80.0,350.0,0.00015789337339811027
80.0,400.0,0.00019498875190038234
80.0,450.0,0.0003518322773743421
80.0,500.0,0.0003876033006235957
80.0,550.0,0.0005717282765544951
90.0,250.0,6.952554394956678e-05
90.0,300.0,8.490165782859549e-05
90.0,350.0,0.00011902895494131371
90.0,400.0,0.00015801617701072246
90.0,450.0,0.00014907617878634483
90.0,550.0,0.0001171910043922253
120.0,250.0,9.787559974938631e-05
120.0,300.0,0.00020746923109982163
120.0,350.0,0.00032669061329215765
120.0,400.0,0.0005043363780714571
120.0,450.0,0.0005652288673445582
120.0,500.0,0.0006351927877403796
120.0,550.0,0.0007445730152539909
150.0,250.0,0.00010709162597777322
150.0,300.0,0.00024315479095093906
150.0,350.0,0.00042695883894339204
150.0,400.0,0.00060721964109689
150.0,450.0,0.0008314537699334323
150.0,500.0,0.0010284691816195846
150.0,550.0,0.0007777053397148848
160.0,220.0,7.987104618223384e-05
165.0,350.0,0.00032940992969088256
165.0,400.0,0.0005020599346607924
165.0,450.0,0.0005728089017793536
165.0,500.0,0.0009143339120782912
165.0,550.0,0.0013008902315050364
167.0,190.0,8.370330760953948e-06
167.0,220.0,7.148402073653415e-05
173.0,190.0,5.651414994645165e-06
173.0,200.0,1.472098574595293e-05
173.0,250.0,0.0002075997763313353
173.0,300.0,0.0005368450074456632
173.0,350.0,0.00014908450248185545
173.0,400.0,0.0002864954003598541
173.0,450.0,0.00049629807472229
173.0,500.0,0.0006044755573384464
173.0,550.0,0.0008186532068066299
188.0,200.0,1.7564092559041455e-05
188.0,250.0,0.00023500256065744907
188.0,300.0,0.0005264041246846318
188.0,350.0,0.0001782615145202726
188.0,400.0,0.00029959119274280965
188.0,500.0,0.0005435941275209188
188.0,550.0,0.0006091243703849614
194.0,195.0,7.1639583438809495e-06
200.0,350.0,0.00014729365648236126
200.0,400.0,0.0002954966912511736
200.0,450.0,0.0004558789951261133
200.0,500.0,0.0005347579717636108
200.0,550.0,0.0008800940122455359
225.0,400.0,0.00025405167252756655

M(STOP)-M(NEUTRALINO) [GeV],M(STOP) [GeV],SELECTED SR
7.0,250.0,bffN
7.0,300.0,bffN
10.0,350.0,bffN
20.0,250.0,bffN
20.0,300.0,bffN
20.0,350.0,bffN
20.0,400.0,bffN
20.0,450.0,bffN
20.0,500.0,bffN
20.0,550.0,bffN
50.0,250.0,bffN
50.0,300.0,bffN
50.0,350.0,bffN
50.0,400.0,bffN
50.0,450.0,bffN
50.0,500.0,bffN
50.0,550.0,bffN
80.0,300.0,bWN
80.0,350.0,bWN
80.0,400.0,bWN
80.0,450.0,bWN
80.0,500.0,bWN
80.0,550.0,bffN
90.0,250.0,bWN
90.0,300.0,bWN
90.0,350.0,bWN
90.0,400.0,bWN
90.0,450.0,bWN
90.0,550.0,bWN
120.0,250.0,bWN
120.0,300.0,bWN
120.0,350.0,bWN
120.0,400.0,bWN
120.0,450.0,bWN
120.0,500.0,bWN
120.0,550.0,bWN
150.0,250.0,bWN
150.0,300.0,bWN
150.0,350.0,bWN
150.0,400.0,tN_diag_high
150.0,450.0,bWN
150.0,500.0,tN_diag_high
150.0,550.0,bWN
160.0,220.0,tN_diag_med
165.0,350.0,tN_diag_high
165.0,400.0,tN_diag_high
165.0,450.0,tN_diag_high
165.0,500.0,tN_diag_high
165.0,550.0,tN_diag_high
167.0,190.0,tN_diag_low
167.0,220.0,tN_diag_med
173.0,190.0,tN_diag_low
173.0,200.0,tN_diag_low
173.0,250.0,tN_diag_med
173.0,300.0,tN_diag_med
173.0,350.0,tN_diag_high
173.0,400.0,tN_diag_high
173.0,450.0,tN_diag_high
173.0,500.0,tN_diag_high
173.0,550.0,tN_diag_high
188.0,200.0,tN_diag_low
188.0,250.0,tN_diag_med
188.0,300.0,tN_diag_med
188.0,350.0,tN_diag_high
188.0,400.0,tN_diag_high
188.0,500.0,tN_diag_high
188.0,550.0,tN_diag_high
194.0,195.0,tN_diag_low
200.0,350.0,tN_diag_high
200.0,400.0,tN_diag_high
200.0,450.0,tN_diag_high
200.0,500.0,tN_diag_high
200.0,550.0,tN_diag_high
225.0,400.0,tN_diag_high

