#: table_doi: 10.17182/hepdata.95354.v2/t12
#: name: Cross section limits vs. lifetime and mass, higgsino LSP
#: description: The expected and observed 95% CL upper limits on the product of cross section and branching fraction for direct production of charginos as a function of chargino mass and mean proper lifetime, with a purely higgsino LSP. The branching fractions are set to 95.5% for $\widetilde{\chi}^{\pm}_{1} \rightarrow \widetilde{\chi}^{0}_{1,2} \pi^{\pm}$, 3% for $\widetilde{\chi}^{-}_{1} \rightarrow \widetilde{\chi}^{0}_{1,2} e\nu$, and 1.5% for $\widetilde{\chi}^{-}_{1} \rightarrow \widetilde{\chi}^{0}_{1,2} \mu\nu$, with equal branching fractions and production cross sections between $\widetilde{\chi}^{0}_{1}$ and $\widetilde{\chi}^{0}_{2}$. The cross section includes both $\widetilde{\chi}^{\pm}_{1} \widetilde{\chi}^{0}_{1,2}$ and $\widetilde{\chi}^{\pm}_{1}\widetilde{\chi}^{\mp}_{1}$ production in roughly a 7:2 ratio for all chargino masses considered.
#: data_file: cross_section_limits_vs._lifetime_and_mass,_higgsino_lsp.yaml
Chargino lifetime [ns],Chargino mass [GeV],Observed 95\% CL upper limits on $\sigma$ B [pb]
0.0083391,100.0,26736000.0
0.011675,100.0,62557.0
0.01501,100.0,3210.2
0.018346,100.0,556.58
0.021682,100.0,174.13
0.025017,100.0,74.88
0.028353,100.0,38.768
0.031689,100.0,22.763
0.050035,100.0,14.329
0.083391,100.0,1.4647
0.11675,100.0,0.57994
0.1501,100.0,0.34413
0.18346,100.0,0.24479
0.21682,100.0,0.19268
0.25017,100.0,0.16149
0.28353,100.0,0.1411
0.31689,100.0,0.12715
0.50035,100.0,0.11715
0.83391,100.0,0.086429
1.1675,100.0,0.080235
1.501,100.0,0.08012
1.8346,100.0,0.08255
2.1682,100.0,0.086074
2.5017,100.0,0.09053
2.8353,100.0,0.095488
3.1689,100.0,0.10082
5.0035,100.0,0.10645
8.3391,100.0,0.16851
11.675,100.0,0.26768
15.01,100.0,0.37547
18.346,100.0,0.4882
21.682,100.0,0.5994
25.017,100.0,0.70342
28.353,100.0,0.80107
31.689,100.0,0.88719
50.035,100.0,0.96261
83.391,100.0,3.4793
116.75,100.0,4.8123
150.1,100.0,6.1125
183.46,100.0,7.426
216.82,100.0,8.7252
250.17,100.0,9.9728
283.53,100.0,11.146
316.89,100.0,12.24
350.24,100.0,13.262
0.0083391,200.0,8399300.0
0.011675,200.0,33992.0
0.01501,200.0,2298.6
0.018346,200.0,471.32
0.021682,200.0,166.16
0.025017,200.0,79.091
0.028353,200.0,45.033
0.031689,200.0,28.636
0.050035,200.0,18.68
0.083391,200.0,1.8857
0.11675,200.0,0.63081
0.1501,200.0,0.33094
0.18346,200.0,0.21363
0.21682,200.0,0.15532
0.25017,200.0,0.12178
0.28353,200.0,0.10045
0.31689,200.0,0.085922
0.50035,200.0,0.075514
0.83391,200.0,0.039198
1.1675,200.0,0.032306
1.501,200.0,0.030544
1.8346,200.0,0.03034
2.1682,200.0,0.030972
2.5017,200.0,0.031855
2.8353,200.0,0.033006
3.1689,200.0,0.034396
5.0035,200.0,0.035836
8.3391,200.0,0.043338
11.675,200.0,0.05732
15.01,200.0,0.071967
18.346,200.0,0.087476
21.682,200.0,0.10321
25.017,200.0,0.11917
28.353,200.0,0.13523
31.689,200.0,0.15175
50.035,200.0,0.16849
83.391,200.0,0.308
116.75,200.0,0.46573
150.1,200.0,0.6232
183.46,200.0,0.77758
216.82,200.0,0.93156
250.17,200.0,1.082
283.53,200.0,1.2344
316.89,200.0,1.3884
350.24,200.0,1.5461
0.0083391,300.0,126950000.0
0.011675,300.0,245490000.0
0.01501,300.0,1675400.0
0.018346,300.0,75809.0
0.021682,300.0,9195.3
0.025017,300.0,2020.6
0.028353,300.0,648.03
0.031689,300.0,267.03
0.050035,300.0,123.84
0.083391,300.0,3.4925
0.11675,300.0,0.83807
0.1501,300.0,0.38103
0.18346,300.0,0.22883
0.21682,300.0,0.15956
0.25017,300.0,0.1216
0.28353,300.0,0.098158
0.31689,300.0,0.082485
0.50035,300.0,0.071399
0.83391,300.0,0.030585
1.1675,300.0,0.023568
1.501,300.0,0.021274
1.8346,300.0,0.020608
2.1682,300.0,0.020508
2.5017,300.0,0.020796
2.8353,300.0,0.0213
3.1689,300.0,0.021845
5.0035,300.0,0.022454
8.3391,300.0,0.037039
11.675,300.0,0.046089
15.01,300.0,0.055628
18.346,300.0,0.065518
21.682,300.0,0.075671
25.017,300.0,0.08572
28.353,300.0,0.095593
31.689,300.0,0.10558
50.035,300.0,0.11552
83.391,300.0,0.17129
116.75,300.0,0.25057
150.1,300.0,0.33191
183.46,300.0,0.41494
216.82,300.0,0.49962
250.17,300.0,0.58626
283.53,300.0,0.6737
316.89,300.0,0.76217
350.24,300.0,0.85139
0.0083391,400.0,122350000.0
0.011675,400.0,117740000.0
0.01501,400.0,901410.0
0.018346,400.0,47390.0
0.021682,400.0,6452.7
0.025017,400.0,1513.9
0.028353,400.0,503.11
0.031689,400.0,211.61
0.050035,400.0,102.11
0.083391,400.0,3.9609
0.11675,400.0,1.0223
0.1501,400.0,0.44792
0.18346,400.0,0.25503
0.21682,400.0,0.16913
0.25017,400.0,0.12308
0.28353,400.0,0.095537
0.31689,400.0,0.077665
0.50035,400.0,0.065297
0.83391,400.0,0.029246
1.1675,400.0,0.021157
1.501,400.0,0.018335
1.8346,400.0,0.017208
2.1682,400.0,0.016791
2.5017,400.0,0.016705
2.8353,400.0,0.016898
3.1689,400.0,0.017192
5.0035,400.0,0.017586
8.3391,400.0,0.029193
11.675,400.0,0.035043
15.01,400.0,0.041693
18.346,400.0,0.048724
21.682,400.0,0.055859
25.017,400.0,0.063335
28.353,400.0,0.071175
31.689,400.0,0.078977
50.035,400.0,0.086907
83.391,400.0,0.11712
116.75,400.0,0.17068
150.1,400.0,0.22737
183.46,400.0,0.2871
216.82,400.0,0.34711
250.17,400.0,0.40943
283.53,400.0,0.47095
316.89,400.0,0.53161
350.24,400.0,0.59266
0.0083391,500.0,113240000.0
0.011675,500.0,104140000.0
0.01501,500.0,971490.0
0.018346,500.0,69990.0
0.021682,500.0,12553.0
0.025017,500.0,3809.2
0.028353,500.0,1524.2
0.031689,500.0,694.33
0.050035,500.0,333.75
0.083391,500.0,7.4209
0.11675,500.0,1.4814
0.1501,500.0,0.58002
0.18346,500.0,0.30912
0.21682,500.0,0.19566
0.25017,500.0,0.13821
0.28353,500.0,0.10484
0.31689,500.0,0.08381
0.50035,500.0,0.06968
0.83391,500.0,0.026041
1.1675,500.0,0.018589
1.501,500.0,0.015902
1.8346,500.0,0.014745
2.1682,500.0,0.01423
2.5017,500.0,0.014103
2.8353,500.0,0.014096
3.1689,500.0,0.014245
5.0035,500.0,0.014454
8.3391,500.0,0.022023
11.675,500.0,0.026637
15.01,500.0,0.031205
18.346,500.0,0.035511
21.682,500.0,0.039814
25.017,500.0,0.044021
28.353,500.0,0.048396
31.689,500.0,0.052685
50.035,500.0,0.056993
83.391,500.0,0.11637
116.75,500.0,0.18093
150.1,500.0,0.24599
183.46,500.0,0.31012
