#: table_doi: 10.17182/hepdata.95354.v2/t10
#: name: Cross section limits vs. lifetime and mass, wino LSP
#: description: The expected and observed 95% CL upper limits on the product of cross section and branching fraction for direct production of charginos as a function of chargino mass and mean proper lifetime, with a purely wino LSP. The branching fraction for $\widetilde{\chi}^{\pm}_{1} \rightarrow \widetilde{\chi}^{0}_{1} \pi^{\pm}$ is set to 100%. Shown are the full Run 2 results, derived from the results of the search in the 2017 and 2018 data sets combined with those of the previous CMS result obtained in the 2015 and 2016 data sets. The cross section includes both $\widetilde{\chi}^{\pm}_{1} \widetilde{\chi}^{0}_{1}$ and $\widetilde{\chi}^{\pm}_{1}\widetilde{\chi}^{\mp}_{1}$ production in roughly a 2:1 ratio for all chargino masses considered.
#: data_file: cross_section_limits_vs._lifetime_and_mass,_wino_lsp.yaml
Chargino lifetime [ns],Chargino mass [GeV],Observed 95\% CL upper limits on $\sigma$ B [pb]
0.0083391,100.0,73021000.0
0.011675,100.0,43652.0
0.01501,100.0,1237.9
0.018346,100.0,160.75
0.021682,100.0,43.95
0.025017,100.0,18.23
0.028353,100.0,9.6915
0.031689,100.0,6.0527
0.050035,100.0,4.2611
0.083391,100.0,0.69212
0.11675,100.0,0.29588
0.1501,100.0,0.17245
0.18346,100.0,0.11732
0.21682,100.0,0.088196
0.25017,100.0,0.070387
0.28353,100.0,0.059757
0.31689,100.0,0.052132
0.50035,100.0,0.046023
0.83391,100.0,0.03638
1.1675,100.0,0.031057
1.501,100.0,0.030462
1.8346,100.0,0.031409
2.1682,100.0,0.032897
2.5017,100.0,0.035079
2.8353,100.0,0.036866
3.1689,100.0,0.039225
5.0035,100.0,0.041206
8.3391,100.0,0.035635
11.675,100.0,0.053696
15.01,100.0,0.075408
18.346,100.0,0.091771
21.682,100.0,0.11641
25.017,100.0,0.13391
28.353,100.0,0.15744
31.689,100.0,0.18477
50.035,100.0,0.19998
83.391,100.0,0.41256
116.75,100.0,0.60884
150.1,100.0,0.90687
183.46,100.0,1.0906
216.82,100.0,1.2707
250.17,100.0,1.6064
283.53,100.0,1.906
316.89,100.0,2.1885
350.24,100.0,2.5833
0.0083391,200.0,54729.0
0.011675,200.0,1248.8
0.01501,200.0,205.44
0.018346,200.0,73.364
0.021682,200.0,38.499
0.025017,200.0,25.232
0.028353,200.0,18.96
0.031689,200.0,15.257
0.050035,200.0,13.467
0.083391,200.0,1.3121
0.11675,200.0,0.41317
0.1501,200.0,0.20824
0.18346,200.0,0.12957
0.21682,200.0,0.091559
0.25017,200.0,0.069664
0.28353,200.0,0.055915
0.31689,200.0,0.046557
0.50035,200.0,0.039706
0.83391,200.0,0.015287
1.1675,200.0,0.012695
1.501,200.0,0.011949
1.8346,200.0,0.011882
2.1682,200.0,0.012078
2.5017,200.0,0.012521
2.8353,200.0,0.012828
3.1689,200.0,0.013462
5.0035,200.0,0.014018
8.3391,200.0,0.022402
11.675,200.0,0.031945
15.01,200.0,0.03802
18.346,200.0,0.047288
21.682,200.0,0.055367
25.017,200.0,0.063533
28.353,200.0,0.06949
31.689,200.0,0.077732
50.035,200.0,0.086731
83.391,200.0,0.19107
116.75,200.0,0.27745
150.1,200.0,0.36306
183.46,200.0,0.44506
216.82,200.0,0.54281
250.17,200.0,0.64066
283.53,200.0,0.76339
316.89,200.0,0.85653
350.24,200.0,0.91905
0.0083391,300.0,143360000000.0
0.011675,300.0,534730000.0
0.01501,300.0,1952300.0
0.018346,300.0,65220.0
0.021682,300.0,6728.2
0.025017,300.0,1333.6
0.028353,300.0,397.97
0.031689,300.0,155.64
0.050035,300.0,73.055
0.083391,300.0,1.9894
0.11675,300.0,0.45642
0.1501,300.0,0.20091
0.18346,300.0,0.11865
0.21682,300.0,0.08132
0.25017,300.0,0.061113
0.28353,300.0,0.048804
0.31689,300.0,0.04048
0.50035,300.0,0.034543
0.83391,300.0,0.014286
1.1675,300.0,0.010593
1.501,300.0,0.0092418
1.8346,300.0,0.0087187
2.1682,300.0,0.0084455
2.5017,300.0,0.0084216
2.8353,300.0,0.0084701
3.1689,300.0,0.0085885
5.0035,300.0,0.0087178
8.3391,300.0,0.012843
11.675,300.0,0.016579
15.01,300.0,0.020214
18.346,300.0,0.023277
21.682,300.0,0.027804
25.017,300.0,0.031208
28.353,300.0,0.035437
31.689,300.0,0.03888
50.035,300.0,0.041812
83.391,300.0,0.071293
116.75,300.0,0.11214
150.1,300.0,0.15789
183.46,300.0,0.1946
216.82,300.0,0.24207
250.17,300.0,0.29281
283.53,300.0,0.33137
316.89,300.0,0.37155
350.24,300.0,0.41345
0.0083391,400.0,429560000000.0
0.011675,400.0,16313000.0
0.01501,400.0,111360.0
0.018346,400.0,5950.7
0.021682,400.0,882.64
0.025017,400.0,232.25
0.028353,400.0,86.887
0.031689,400.0,40.937
0.050035,400.0,22.626
0.083391,400.0,1.5503
0.11675,400.0,0.45648
0.1501,400.0,0.20192
0.18346,400.0,0.11414
0.21682,400.0,0.074671
0.25017,400.0,0.053892
0.28353,400.0,0.041716
0.31689,400.0,0.033771
0.50035,400.0,0.028477
0.83391,400.0,0.011743
1.1675,400.0,0.008069
1.501,400.0,0.0068605
1.8346,400.0,0.0063615
2.1682,400.0,0.0061889
2.5017,400.0,0.0060959
2.8353,400.0,0.0061676
3.1689,400.0,0.0062392
5.0035,400.0,0.0063554
8.3391,400.0,0.0095439
11.675,400.0,0.012367
15.01,400.0,0.014773
18.346,400.0,0.017538
21.682,400.0,0.020163
25.017,400.0,0.022391
28.353,400.0,0.025603
31.689,400.0,0.027957
50.035,400.0,0.030315
83.391,400.0,0.037843
116.75,400.0,0.063771
150.1,400.0,0.084501
183.46,400.0,0.11004
216.82,400.0,0.13286
250.17,400.0,0.15921
283.53,400.0,0.18965
316.89,400.0,0.21774
350.24,400.0,0.23246
0.0083391,500.0,214920000000.0
0.011675,500.0,279530000.0
0.01501,500.0,1578600.0
0.018346,500.0,73973.0
0.021682,500.0,9751.6
0.025017,500.0,2283.9
0.028353,500.0,749.21
0.031689,500.0,306.29
0.050035,500.0,150.49
0.083391,500.0,3.4731
0.11675,500.0,0.71339
0.1501,500.0,0.28354
0.18346,500.0,0.15365
0.21682,500.0,0.098709
0.25017,500.0,0.070458
0.28353,500.0,0.053882
0.31689,500.0,0.043293
0.50035,500.0,0.035887
0.83391,500.0,0.012596
1.1675,500.0,0.0087716
1.501,500.0,0.0073081
1.8346,500.0,0.0066429
2.1682,500.0,0.0063486
2.5017,500.0,0.0062065
2.8353,500.0,0.0061596
3.1689,500.0,0.0062165
5.0035,500.0,0.006283
8.3391,500.0,0.0082416
11.675,500.0,0.010614
15.01,500.0,0.012857
18.346,500.0,0.015248
21.682,500.0,0.017387
25.017,500.0,0.019974
28.353,500.0,0.022523
31.689,500.0,0.025193
50.035,500.0,0.027569
83.391,500.0,0.034231
116.75,500.0,0.051047
150.1,500.0,0.067903
183.46,500.0,0.08809
216.82,500.0,0.10776
250.17,500.0,0.12597
283.53,500.0,0.14536
316.89,500.0,0.16565
350.24,500.0,0.18876
0.0083391,600.0,108180000000.0
0.011675,600.0,1441700000.0
0.01501,600.0,3627400.0
0.018346,600.0,109200.0
0.021682,600.0,11021.0
0.025017,600.0,2215.7
0.028353,600.0,682.31
0.031689,600.0,278.09
0.050035,600.0,133.45
0.083391,600.0,4.1272
0.11675,600.0,0.81651
0.1501,600.0,0.32056
0.18346,600.0,0.17165
0.21682,600.0,0.10838
0.25017,600.0,0.07587
0.28353,600.0,0.056903
0.31689,600.0,0.044774
0.50035,600.0,0.036595
0.83391,600.0,0.011357
1.1675,600.0,0.0074879
