#: table_doi: 10.17182/hepdata.95354.v2/t37
#: name: Estimated backgrounds and observation
#: description: Summary of the estimated backgrounds and the observation. The first and second uncertainties shown are the statistical and systematic contributions, respectively.
#: data_file: estimated_backgrounds_and_observation.yaml
Data-taking period,$n_{\text{lay}}$,Electron estimate,Stat. (1 s.d.) +,Stat. (1 s.d.) -,Syst. (1 s.d.) +,Syst. (1 s.d.) -
2017,$4$,1.37,0.87,-0.87,0.19,-0.19
2017,$5$,0.9,0.36,-0.36,0.12,-0.12
2017,$\geq 6$,5.6,1.0,-1.0,0.7,-0.7
2018A,$4$,0.99,0.62,-0.62,0.14,-0.14
2018A,$5$,0.15,0.26,-0.15,0.02,-0.02
2018A,$\geq 6$,1.42,0.52,-0.52,0.18,-0.18
2018B,$4$,0.0,0.14,-0.0,0.0,-0.0
2018B,$5$,0.35,0.28,-0.28,0.05,-0.05
2018B,$\geq 6$,4.7,1.0,-1.0,0.6,-0.6

Data-taking period,$n_{\text{lay}}$,Muon estimate,Stat. (1 s.d.) +,Stat. (1 s.d.) -,Syst. (1 s.d.) +,Syst. (1 s.d.) -
2017,$4$,0.0,0.002,-0.0,0.0,-0.0
2017,$5$,0.033,0.027,-0.027,0.002,-0.0
2017,$\geq 6$,0.51,0.22,-0.22,0.0,-0.0
2018A,$4$,0.09,0.11,-0.09,0.01,-0.0
2018A,$5$,0.0,0.038,-0.0,0.0,-0.0
2018A,$\geq 6$,0.38,0.15,-0.15,0.0,-0.0
2018B,$4$,0.0,0.02,-0.0,0.0,-0.0
2018B,$5$,0.0,0.03,-0.0,0.0,-0.0
2018B,$\geq 6$,0.45,0.17,-0.17,0.0,-0.0

Data-taking period,$n_{\text{lay}}$,$\tau_{\text{h}}$ estimate,Stat. (1 s.d.) +,Stat. (1 s.d.) -,Syst. (1 s.d.) +,Syst. (1 s.d.) -
2017,$4$,0.0,0.002,-0.0,0.0,-0.0
2017,$5$,0.21,0.027,-0.027,0.002,-0.0
2017,$\geq 6$,0.56,0.22,-0.22,0.0,-0.0
2018A,$4$,0.0,0.11,-0.09,0.01,-0.0
2018A,$5$,0.0,0.038,-0.0,0.0,-0.0
2018A,$\geq 6$,0.0,0.15,-0.15,0.0,-0.0
2018B,$4$,0.0,0.02,-0.0,0.0,-0.0
2018B,$5$,0.0,0.03,-0.0,0.0,-0.0
2018B,$\geq 6$,0.53,0.17,-0.17,0.0,-0.0

Data-taking period,$n_{\text{lay}}$,Observation
2017,$4$,17.0
2017,$5$,4.0
2017,$\geq 6$,6.0
2018A,$4$,5.0
2018A,$5$,0.0
2018A,$\geq 6$,2.0
2018B,$4$,11.0
2018B,$5$,2.0
2018B,$\geq 6$,1.0

